heading,sender_name,sender_email,content,target
fwd remind technofi iim bodh gaya,code soc via student,students@iiitr.ac.in,forward messag committ iim bodh gaya itcomiimbgacin date tue nov 28 2023 614 pm subject remind technofi iim bodh gaya hello everyon send warm regard behalf committ iim bodh gaya 1 day left registr call aspir entrepreneur groundbreak idea join technofi 20 iim bodh gaya annual tech busi competit showca uniqu concept contribut innov turn idea realiti brighter futur embrac entrepreneuri spirit technofi back second edit featur threeround ideathon provid opportun display entrepreneuri concept detail round 1 onlin quiz consist 20 question complet within 10 minut quiz focu latest develop technolog busi world date time 01st dec 2023 1000 1000 pm round 2 qualifi team requir recogn articul busi problem put forth solut base technolog date time 05th dec 2023 1200 06th dec 2023 1159 pm round 3 finalist must submit conci pptpdf present maximum 7 slide includ titl thank slide outlin busi problem propo technologyba solut impact busi target market date time 10th dec 2023 1200 1159 pm select link provid regist instantli keep eye addit updat registr link technofi 20 iim bodh gaya indian institut manag iim bodh gaya unstop formerli dare2compet registr deadlin 30th novemb 2023 1159 pm ist team registr open postgradu graduat student welcom minimum 1 maximum 3 member per team reward winner inr 7000 certif first runner inr 5000 certif second runner inr 3000 certif certif team clear round 2 get particip certif team member regard committ indian institut manag bodh gaya uruvela prabandh vihar bodh gaya bihar india pin 824234 follow u instagram linkedin thank regard team codesoc indian institut inform technolog raichur websit httpsstudentsiiitracincodesochtml,0
fwd mind fusion challeng unlock creativ mind mind fusion,code soc via student,students@iiitr.ac.in,forward messag samatvam team samatvamteamiimbgacin date mon nov 27 2023 1001 subject mind fusion challeng unlock creativ mind mind fusion hey maverick readi fuse mind creativ geniu join mind fusion mindblow competit samatvam mind center round 1 snap mind photo nov 23 dec 3 round 2 pen journey dec 512 round 3 combin photo essay grand fusion showca dec 1517 unleash creativ win recognit part someth extraordinari readi make mind masterpiec dive detail registr httpsunstopcomeventsmindfulfusionchallengeelegante70iimbodhgaya826731 regard team samatvam thank regard team codesoc indian institut inform technolog raichur websit httpsstudentsiiitracincodesochtml,0
discount extend 1 day 30 annual premium,leetcod,no-reply@leetcode.com,leetcod miss black friday deal chanc 30 annual premium subscript extend one day use code thanks2023 checkout get leetcod premium unlock companyspecif question accur studi access premium content includ question explor card offici editori enjoy premium featur like interview simul autocomplet debugg lightn judg get addit discount highli rate cour 20 event leetcod interview crash cour data structur algorithm leetcod interview crash cour system design interview beyond act offer end 1159pm pst tuesday novemb 28 invest land dream job leetcod premium best leetcod team copyright 2023 leetcod right reserv 2023 leetcod llc right reserv unsubscrib,0
meet,,cs21b1027@iiitr.ac.in,hi shivanshu academ build plea meet plea meet tomorrow thank best regard dr suresh chavhan assist professor dept comput scienc engin indian institut inform technolog raichur karnataka 584135 associ editor alexandria engin journal googl scholar person webpag,1
fwd 7 offcampu internship 2022 2023 2024 2025 2026 passout,placement fic,fic.placement@iiitr.ac.in,forward messag job internship updat jobsandinternshipsupdatesgmailcom date sun nov 26 2023 307 pm subject 7 offcampu internship 2022 2023 2024 2025 2026 passout job internship updat jobsandinternshipsupdatesgmailcom greet placement team offcampu opportun 2022 2023 2024 2025 2026 passout 7 work home internship 2022 2023 2024 2025 2026 batch 1 restech hire fullstack develop intern batch 2022 2023 2024 2025 2026 passout stipend 25k 40k per month durat 2 month appli link httpsrebrandly8dd3bb 2 enalo hire frontend develop intern batch 2024 passout stipend 20k per month durat 36 month expect ctc upto 12 lpa appli link httpsrebrandly186d 3 uniflik hire frontend develop intern batch 2024 2025 2026 passout stipend 10k per month durat 2 month appli link httpsrebrandlyxu4wb73 4 easyop hire fullstack develop engin intern batch 2022 2023 2024 2025 2026 passout stipend 12k per month durat 3 month appli link httpsrebrandly046482 5 makerbl hire mobil app develop intern batch 2024 passout stipend 10k 15k per month durat 6 month appli link httpsrebrandly128c04 6 doubtconnect hire mobil app develop intern batch 2022 2023 2024 2025 2026 passout stipend 15k 20k per month durat 3 month appli link httpsrebrandlybgim2vc 7 bigohealth hire frontend develop intern batch 2023 passout stipend 10k per month durat 3 month appli link httpsrebrandlylvspklp plea share colleg student appli soon possibl opportun close disclaim associ compani list share inform student inform kindli contact compani employ via linkedin bridg gap share offcampu opportun colleg student student join commun get latest updat job internship httpslinktreejobsandinternshipsupd thank regard job internship updat team,1
grade johari window anali modifi,prof harish kumar sardana classroom,no-reply@classroom.google.com,notif set person develop vsem cs21b johari window anali modifi person grade grade 2435 prof harish kumar sardana grade work 1155 pm nov 27 ist view grade googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
final hour 30 annual subscript deal end today,leetcod,no-reply@leetcode.com,hurri save today last day take advantag thanksgiv deal celebr thanksgiv offer 30 annual premium subscript total 129 that 1075 per month use code thanks2023 checkout get leetcod premium unlock companyspecif question accur studi access premium content includ question explor card offici editori enjoy premium featur like interview simul autocomplet debugg lightn judg get addit discount highli rate cour 20 event leetcod interview crash cour data structur algorithm leetcod interview crash cour system design interview beyond act offer end 1159pm pst monday novemb 27 invest land dream job leetcod premium best leetcod team copyright 2023 leetcod right reserv 2023 leetcod llc right reserv unsubscrib,0
open photographi contest natur frame,xposur photographi club,xposure@iiitr.ac.in,dear thrill announc winner natur frame photographi contest much delib xposur team select follow winner 1st place k v jaya harsha 2nd place thaduri manikanth 3rd place ashwath bajaj congratul winner stun photograph truli captur beauti natur captiv way reach soon deliv amaz prize also want extend big thank particip submit incr photograph talent passion photographi truli inspir look forward see next upcom event keep eye announc get readi showca photographi skill congratul winner thank particip best regard xposur photographi club iiit raichur follow u instagram whatsapp,0
regard 1st test evalu,,cs20b1023@iiitr.ac.in,,1
new announc mani group will give,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc mani group will give project present today time see detail post 853 nov 27 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc plea find attach solut,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new announc plea find attach solut lab7 see detail post 306 pm nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new assign lab7,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new assign lab7 submiss format cs23b10xxp1c xx refer roll number see detail post 1142 nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
